statecd,districtID,attendee_count
AL1,0,0
AL2,1,0
AL3,2,0
AL4,3,0
AL5,4,0
AL6,5,0
AL7,6,148
AK1,7,0
AZ1,8,0
AZ2,9,0
AZ3,10,0
AZ4,11,0
AZ5,12,0
AZ6,13,0
AZ7,14,0
AZ8,15,0
AZ9,16,0
AR1,17,0
AR2,18,12
AR3,19,192
AR4,20,0
CA1,21,0
CA2,22,0
CA3,23,0
CA4,24,13
CA5,25,0
CA6,26,0
CA7,27,0
CA8,28,22
CA9,29,0
CA10,30,0
CA11,31,0
CA12,32,0
CA13,33,34
CA14,34,0
CA15,35,40
CA16,36,0
CA17,37,0
CA18,38,0
CA19,39,0
CA20,40,0
CA21,41,0
CA22,42,0
CA23,43,0
CA24,44,75
CA25,45,0
CA26,46,0
CA27,47,0
CA28,48,0
CA29,49,0
CA30,50,0
CA31,51,0
CA32,52,0
CA33,53,70
CA34,54,0
CA35,55,0
CA36,56,0
CA37,57,0
CA38,58,0
CA39,59,0
CA40,60,0
CA41,61,0
CA42,62,0
CA43,63,0
CA44,64,0
CA45,65,0
CA46,66,0
CA47,67,0
CA48,68,0
CA49,69,0
CA50,70,20
CA51,71,0
CA52,72,0
CA53,73,0
CO1,74,0
CO2,75,23
CO3,76,0
CO4,77,0
CO5,78,0
CO6,79,10
CO7,80,0
CT1,81,0
CT2,82,0
CT3,83,27
CT4,84,0
CT5,85,0
DE1,86,79
FL1,87,0
FL2,88,16
FL3,89,0
FL4,90,27
FL5,91,0
FL6,92,70
FL7,93,12
FL8,94,41
FL9,95,0
FL10,96,102
FL11,97,0
FL12,98,26
FL13,99,40
FL14,100,229
FL15,101,0
FL16,102,41
FL17,103,0
FL18,104,30
FL19,105,0
FL20,106,236
FL21,107,0
FL22,108,0
FL23,109,95
FL24,110,0
FL25,111,6
FL26,112,0
FL27,113,0
GA1,114,15
GA2,115,25
GA3,116,0
GA4,117,0
GA5,118,0
GA6,119,0
GA7,120,0
GA8,121,0
GA9,122,0
GA10,123,76
GA11,124,0
GA12,125,0
GA13,126,0
GA14,127,0
HI1,128,0
HI2,129,1
ID1,130,0
ID2,131,0
IL1,132,0
IL2,133,0
IL3,134,0
IL4,135,0
IL5,136,25
IL6,137,35
IL7,138,0
IL8,139,0
IL9,140,56
IL10,141,40
IL11,142,0
IL12,143,0
IL13,144,100
IL14,145,0
IL15,146,7
IL16,147,0
IL17,148,78
IL18,149,0
IN1,150,0
IN2,151,0
IN3,152,0
IN4,153,0
IN5,154,0
IN6,155,0
IN7,156,0
IN8,157,0
IN9,158,115
IA1,159,3
IA2,160,110
IA3,161,0
IA4,162,21
KS1,163,50
KS2,164,0
KS3,165,0
KS4,166,0
KY1,167,0
KY2,168,0
KY3,169,0
KY4,170,0
KY5,171,0
KY6,172,400
LA1,173,0
LA2,174,10
LA3,175,0
LA4,176,0
LA5,177,0
LA6,178,0
ME1,179,20
ME2,180,5
MD1,181,45
MD2,182,0
MD3,183,25
MD4,184,0
MD5,185,34
MD6,186,60
MD7,187,12
MD8,188,48
MA1,189,0
MA2,190,147
MA3,191,0
MA4,192,0
MA5,193,52
MA6,194,25
MA7,195,21
MA8,196,10
MA9,197,0
MI1,198,41
MI2,199,0
MI3,200,0
MI4,201,0
MI5,202,44
MI6,203,26
MI7,204,14
MI8,205,154
MI9,206,0
MI10,207,0
MI11,208,0
MI12,209,55
MI13,210,331
MI14,211,0
MN1,212,0
MN2,213,0
MN3,214,0
MN4,215,12
MN5,216,0
MN6,217,0
MN7,218,0
MN8,219,21
MS1,220,0
MS2,221,0
MS3,222,50
MS4,223,0
MO1,224,20
MO2,225,0
MO3,226,39
MO4,227,5
MO5,228,0
MO6,229,0
MO7,230,25
MO8,231,0
MT1,232,0
NE1,233,0
NE2,234,0
NE3,235,0
NV1,236,0
NV2,237,0
NV3,238,0
NV4,239,0
NH1,240,100
NH2,241,0
NJ1,242,0
NJ2,243,29
NJ3,244,0
NJ4,245,8
NJ5,246,0
NJ6,247,0
NJ7,248,10
NJ8,249,19
NJ9,250,0
NJ10,251,75
NJ11,252,0
NJ12,253,0
NM1,254,0
NM2,255,0
NM3,256,0
NY1,257,0
NY2,258,0
NY3,259,0
NY4,260,0
NY5,261,0
NY6,262,15
NY7,263,38
NY8,264,0
NY9,265,0
NY10,266,110
NY11,267,0
NY12,268,53
NY13,269,17
NY14,270,14
NY15,271,0
NY16,272,0
NY17,273,0
NY18,274,23
NY19,275,63
NY20,276,150
NY21,277,0
NY22,278,0
NY23,279,6
NY24,280,0
NY25,281,0
NY26,282,10
NY27,283,0
NC1,284,8
NC2,285,0
NC3,286,0
NC4,287,18
NC5,288,0
NC6,289,0
NC7,290,0
NC8,291,0
NC9,292,0
NC10,293,245
NC11,294,26
NC12,295,121
NC13,296,38
ND1,297,0
OH1,298,686
OH2,299,18
OH3,300,0
OH4,301,0
OH5,302,0
OH6,303,1
OH7,304,0
OH8,305,0
OH9,306,0
OH10,307,0
OH11,308,0
OH12,309,0
OH13,310,0
OH14,311,0
OH15,312,0
OH16,313,0
OK1,314,0
OK2,315,20
OK3,316,0
OK4,317,24
OK5,318,55
OR1,319,0
OR2,320,0
OR3,321,0
OR4,322,0
OR5,323,0
PA1,324,145
PA2,325,18
PA3,326,0
PA4,327,0
PA5,328,0
PA6,329,0
PA7,330,0
PA8,331,0
PA9,332,1
PA10,333,0
PA11,334,0
PA12,335,0
PA13,336,0
PA14,337,30
PA15,338,0
PA16,339,0
PA17,340,0
PA18,341,0
RI1,342,48
RI2,343,0
SC1,344,0
SC2,345,21
SC3,346,19
SC4,347,26
SC5,348,0
SC6,349,30
SC7,350,25
SD1,351,0
TN1,352,33
TN2,353,50
TN3,354,79
TN4,355,0
TN5,356,0
TN6,357,0
TN7,358,0
TN8,359,0
TN9,360,0
TX1,361,0
TX2,362,35
TX3,363,0
TX4,364,20
TX5,365,0
TX6,366,0
TX7,367,48
TX8,368,0
TX9,369,0
TX10,370,0
TX11,371,0
TX12,372,0
TX13,373,0
TX14,374,0
TX15,375,0
TX16,376,73
TX17,377,0
TX18,378,0
TX19,379,6
TX20,380,0
TX21,381,0
TX22,382,0
TX23,383,0
TX24,384,0
TX25,385,0
TX26,386,0
TX27,387,0
TX28,388,0
TX29,389,0
TX30,390,0
TX31,391,25
TX32,392,12
TX33,393,50
TX34,394,0
TX35,395,17
TX36,396,0
UT1,397,0
UT2,398,0
UT3,399,0
UT4,400,0
VT1,401,202
VA1,402,0
VA2,403,0
VA3,404,35
VA4,405,0
VA5,406,145
VA6,407,0
VA7,408,0
VA8,409,10
VA9,410,135
VA10,411,25
VA11,412,0
WA1,413,0
WA2,414,30
WA3,415,0
WA4,416,0
WA5,417,0
WA6,418,0
WA7,419,20
WA8,420,0
WA9,421,0
WA10,422,0
WV1,423,5
WV2,424,129
WV3,425,35
WI1,426,0
WI2,427,49
WI3,428,97
WI4,429,0
WI5,430,14
WI6,431,0
WI7,432,3
WI8,433,0
WY1,434,3
