statecd,districtID,attendee_count
AL1,0,0
AL2,1,0
AL3,2,0
AL4,3,0
AL5,4,0
AL6,5,0
AL7,6,0
AK1,7,0
AZ1,8,0
AZ2,9,0
AZ3,10,0
AZ4,11,0
AZ5,12,0
AZ6,13,0
AZ7,14,0
AZ8,15,0
AZ9,16,0
AR1,17,26
AR2,18,0
AR3,19,0
AR4,20,0
CA1,21,0
CA2,22,0
CA3,23,21
CA4,24,0
CA5,25,0
CA6,26,0
CA7,27,0
CA8,28,19
CA9,29,0
CA10,30,0
CA11,31,0
CA12,32,0
CA13,33,93
CA14,34,0
CA15,35,0
CA16,36,0
CA17,37,0
CA18,38,0
CA19,39,0
CA20,40,0
CA21,41,0
CA22,42,0
CA23,43,0
CA24,44,0
CA25,45,0
CA26,46,0
CA27,47,0
CA28,48,0
CA29,49,0
CA30,50,0
CA31,51,0
CA32,52,0
CA33,53,0
CA34,54,0
CA35,55,0
CA36,56,0
CA37,57,0
CA38,58,0
CA39,59,0
CA40,60,0
CA41,61,0
CA42,62,0
CA43,63,0
CA44,64,0
CA45,65,0
CA46,66,0
CA47,67,0
CA48,68,0
CA49,69,0
CA50,70,0
CA51,71,0
CA52,72,0
CA53,73,0
CO1,74,18
CO2,75,0
CO3,76,0
CO4,77,0
CO5,78,0
CO6,79,0
CO7,80,0
CT1,81,0
CT2,82,19
CT3,83,0
CT4,84,0
CT5,85,43
DE1,86,0
FL1,87,0
FL2,88,0
FL3,89,0
FL4,90,0
FL5,91,0
FL6,92,25
FL7,93,19
FL8,94,167
FL9,95,0
FL10,96,0
FL11,97,0
FL12,98,0
FL13,99,0
FL14,100,20
FL15,101,0
FL16,102,20
FL17,103,0
FL18,104,0
FL19,105,14
FL20,106,0
FL21,107,0
FL22,108,0
FL23,109,0
FL24,110,0
FL25,111,0
FL26,112,0
FL27,113,0
GA1,114,0
GA2,115,0
GA3,116,0
GA4,117,0
GA5,118,70
GA6,119,0
GA7,120,0
GA8,121,0
GA9,122,0
GA10,123,0
GA11,124,0
GA12,125,0
GA13,126,0
GA14,127,3
HI1,128,0
HI2,129,0
ID1,130,0
ID2,131,3
IL1,132,50
IL2,133,0
IL3,134,0
IL4,135,46
IL5,136,83
IL6,137,0
IL7,138,0
IL8,139,0
IL9,140,92
IL10,141,69
IL11,142,0
IL12,143,0
IL13,144,108
IL14,145,0
IL15,146,0
IL16,147,0
IL17,148,0
IL18,149,0
IN1,150,7
IN2,151,0
IN3,152,20
IN4,153,0
IN5,154,5
IN6,155,7
IN7,156,14
IN8,157,0
IN9,158,0
IA1,159,22
IA2,160,0
IA3,161,0
IA4,162,8
KS1,163,0
KS2,164,20
KS3,165,0
KS4,166,44
KY1,167,45
KY2,168,18
KY3,169,11
KY4,170,0
KY5,171,0
KY6,172,0
LA1,173,0
LA2,174,0
LA3,175,0
LA4,176,0
LA5,177,0
LA6,178,44
ME1,179,51
ME2,180,30
MD1,181,0
MD2,182,0
MD3,183,0
MD4,184,0
MD5,185,0
MD6,186,0
MD7,187,0
MD8,188,20
MA1,189,26
MA2,190,141
MA3,191,0
MA4,192,217
MA5,193,38
MA6,194,19
MA7,195,70
MA8,196,60
MA9,197,38
MI1,198,19
MI2,199,54
MI3,200,0
MI4,201,0
MI5,202,0
MI6,203,65
MI7,204,0
MI8,205,43
MI9,206,0
MI10,207,37
MI11,208,0
MI12,209,30
MI13,210,0
MI14,211,15
MN1,212,0
MN2,213,0
MN3,214,0
MN4,215,50
MN5,216,0
MN6,217,0
MN7,218,0
MN8,219,0
MS1,220,0
MS2,221,0
MS3,222,0
MS4,223,0
MO1,224,0
MO2,225,0
MO3,226,0
MO4,227,12
MO5,228,489
MO6,229,21
MO7,230,0
MO8,231,0
MT1,232,0
NE1,233,2
NE2,234,22
NE3,235,0
NV1,236,0
NV2,237,0
NV3,238,0
NV4,239,0
NH1,240,72
NH2,241,118
NJ1,242,0
NJ2,243,17
NJ3,244,0
NJ4,245,0
NJ5,246,28
NJ6,247,0
NJ7,248,18
NJ8,249,8
NJ9,250,0
NJ10,251,0
NJ11,252,0
NJ12,253,134
NM1,254,0
NM2,255,0
NM3,256,0
NY1,257,5
NY2,258,25
NY3,259,9
NY4,260,0
NY5,261,0
NY6,262,0
NY7,263,5
NY8,264,65
NY9,265,0
NY10,266,29
NY11,267,36
NY12,268,15
NY13,269,131
NY14,270,0
NY15,271,0
NY16,272,3
NY17,273,25
NY18,274,41
NY19,275,0
NY20,276,26
NY21,277,110
NY22,278,15
NY23,279,53
NY24,280,77
NY25,281,0
NY26,282,0
NY27,283,0
NC1,284,0
NC2,285,6
NC3,286,1
NC4,287,82
NC5,288,79
NC6,289,0
NC7,290,0
NC8,291,10
NC9,292,0
NC10,293,0
NC11,294,35
NC12,295,0
NC13,296,0
ND1,297,0
OH1,298,20
OH2,299,0
OH3,300,347
OH4,301,0
OH5,302,37
OH6,303,0
OH7,304,0
OH8,305,0
OH9,306,0
OH10,307,0
OH11,308,0
OH12,309,0
OH13,310,19
OH14,311,0
OH15,312,0
OH16,313,0
OK1,314,0
OK2,315,0
OK3,316,0
OK4,317,0
OK5,318,0
OR1,319,0
OR2,320,0
OR3,321,0
OR4,322,0
OR5,323,13
PA1,324,0
PA2,325,14
PA3,326,0
PA4,327,35
PA5,328,79
PA6,329,52
PA7,330,0
PA8,331,0
PA9,332,0
PA10,333,33
PA11,334,18
PA12,335,0
PA13,336,0
PA14,337,0
PA15,338,0
PA16,339,0
PA17,340,0
PA18,341,0
RI1,342,81
RI2,343,70
SC1,344,0
SC2,345,0
SC3,346,0
SC4,347,0
SC5,348,0
SC6,349,0
SC7,350,0
SD1,351,103
TN1,352,0
TN2,353,0
TN3,354,0
TN4,355,9
TN5,356,0
TN6,357,0
TN7,358,0
TN8,359,0
TN9,360,0
TX1,361,0
TX2,362,23
TX3,363,20
TX4,364,16
TX5,365,0
TX6,366,0
TX7,367,0
TX8,368,0
TX9,369,0
TX10,370,0
TX11,371,0
TX12,372,0
TX13,373,0
TX14,374,61
TX15,375,0
TX16,376,0
TX17,377,0
TX18,378,4
TX19,379,0
TX20,380,0
TX21,381,0
TX22,382,0
TX23,383,0
TX24,384,0
TX25,385,0
TX26,386,35
TX27,387,0
TX28,388,0
TX29,389,0
TX30,390,0
TX31,391,0
TX32,392,0
TX33,393,0
TX34,394,0
TX35,395,32
TX36,396,0
UT1,397,0
UT2,398,14
UT3,399,0
UT4,400,0
VT1,401,257
VA1,402,0
VA2,403,0
VA3,404,0
VA4,405,0
VA5,406,0
VA6,407,99
VA7,408,0
VA8,409,150
VA9,410,39
VA10,411,0
VA11,412,0
WA1,413,0
WA2,414,10
WA3,415,0
WA4,416,0
WA5,417,10
WA6,418,13
WA7,419,0
WA8,420,0
WA9,421,0
WA10,422,68
WV1,423,32
WV2,424,0
WV3,425,0
WI1,426,0
WI2,427,116
WI3,428,0
WI4,429,84
WI5,430,8
WI6,431,0
WI7,432,22
WI8,433,0
WY1,434,0
