statecd,districtID,attendee_count
AL1,0,0
AL2,1,10
AL3,2,0
AL4,3,4
AL5,4,0
AL6,5,15
AL7,6,0
AK1,7,0
AZ1,8,0
AZ2,9,0
AZ3,10,0
AZ4,11,0
AZ5,12,0
AZ6,13,0
AZ7,14,0
AZ8,15,0
AZ9,16,0
AR1,17,8
AR2,18,0
AR3,19,0
AR4,20,0
CA1,21,0
CA2,22,0
CA3,23,0
CA4,24,0
CA5,25,0
CA6,26,0
CA7,27,0
CA8,28,9
CA9,29,0
CA10,30,0
CA11,31,0
CA12,32,0
CA13,33,0
CA14,34,0
CA15,35,0
CA16,36,0
CA17,37,0
CA18,38,0
CA19,39,0
CA20,40,0
CA21,41,0
CA22,42,0
CA23,43,0
CA24,44,0
CA25,45,0
CA26,46,0
CA27,47,0
CA28,48,70
CA29,49,0
CA30,50,0
CA31,51,0
CA32,52,0
CA33,53,0
CA34,54,0
CA35,55,0
CA36,56,0
CA37,57,0
CA38,58,0
CA39,59,0
CA40,60,0
CA41,61,0
CA42,62,0
CA43,63,0
CA44,64,0
CA45,65,0
CA46,66,0
CA47,67,0
CA48,68,0
CA49,69,0
CA50,70,0
CA51,71,0
CA52,72,0
CA53,73,0
CO1,74,0
CO2,75,113
CO3,76,0
CO4,77,0
CO5,78,0
CO6,79,25
CO7,80,0
CT1,81,38
CT2,82,0
CT3,83,17
CT4,84,19
CT5,85,93
DE1,86,0
FL1,87,2
FL2,88,0
FL3,89,0
FL4,90,0
FL5,91,247
FL6,92,0
FL7,93,0
FL8,94,7
FL9,95,0
FL10,96,68
FL11,97,0
FL12,98,33
FL13,99,0
FL14,100,0
FL15,101,0
FL16,102,15
FL17,103,0
FL18,104,0
FL19,105,0
FL20,106,0
FL21,107,20
FL22,108,0
FL23,109,60
FL24,110,0
FL25,111,0
FL26,112,0
FL27,113,0
GA1,114,31
GA2,115,0
GA3,116,0
GA4,117,0
GA5,118,165
GA6,119,0
GA7,120,0
GA8,121,0
GA9,122,34
GA10,123,20
GA11,124,0
GA12,125,1
GA13,126,0
GA14,127,0
HI1,128,0
HI2,129,0
ID1,130,0
ID2,131,0
IL1,132,0
IL2,133,50
IL3,134,0
IL4,135,0
IL5,136,0
IL6,137,90
IL7,138,21
IL8,139,0
IL9,140,20
IL10,141,0
IL11,142,0
IL12,143,25
IL13,144,0
IL14,145,63
IL15,146,0
IL16,147,177
IL17,148,0
IL18,149,97
IN1,150,0
IN2,151,74
IN3,152,7
IN4,153,0
IN5,154,0
IN6,155,0
IN7,156,0
IN8,157,0
IN9,158,0
IA1,159,0
IA2,160,0
IA3,161,2
IA4,162,14
KS1,163,0
KS2,164,25
KS3,165,0
KS4,166,40
KY1,167,0
KY2,168,0
KY3,169,0
KY4,170,0
KY5,171,0
KY6,172,43
LA1,173,0
LA2,174,43
LA3,175,0
LA4,176,0
LA5,177,0
LA6,178,12
ME1,179,31
ME2,180,20
MD1,181,0
MD2,182,0
MD3,183,35
MD4,184,5
MD5,185,0
MD6,186,15
MD7,187,2
MD8,188,47
MA1,189,51
MA2,190,80
MA3,191,0
MA4,192,70
MA5,193,0
MA6,194,20
MA7,195,9
MA8,196,0
MA9,197,0
MI1,198,16
MI2,199,0
MI3,200,20
MI4,201,0
MI5,202,32
MI6,203,96
MI7,204,6
MI8,205,0
MI9,206,25
MI10,207,0
MI11,208,0
MI12,209,11
MI13,210,0
MI14,211,1
MN1,212,0
MN2,213,0
MN3,214,0
MN4,215,0
MN5,216,28
MN6,217,0
MN7,218,0
MN8,219,19
MS1,220,0
MS2,221,0
MS3,222,0
MS4,223,0
MO1,224,12
MO2,225,0
MO3,226,0
MO4,227,15
MO5,228,0
MO6,229,0
MO7,230,144
MO8,231,8
MT1,232,0
NE1,233,0
NE2,234,0
NE3,235,12
NV1,236,0
NV2,237,0
NV3,238,0
NV4,239,0
NH1,240,2
NH2,241,97
NJ1,242,0
NJ2,243,76
NJ3,244,0
NJ4,245,0
NJ5,246,0
NJ6,247,25
NJ7,248,3
NJ8,249,13
NJ9,250,0
NJ10,251,0
NJ11,252,12
NJ12,253,0
NM1,254,15
NM2,255,0
NM3,256,0
NY1,257,0
NY2,258,104
NY3,259,0
NY4,260,0
NY5,261,26
NY6,262,0
NY7,263,25
NY8,264,4
NY9,265,5
NY10,266,0
NY11,267,18
NY12,268,0
NY13,269,0
NY14,270,0
NY15,271,0
NY16,272,30
NY17,273,0
NY18,274,0
NY19,275,20
NY20,276,0
NY21,277,0
NY22,278,5
NY23,279,100
NY24,280,0
NY25,281,0
NY26,282,6
NY27,283,8
NC1,284,0
NC2,285,0
NC3,286,64
NC4,287,23
NC5,288,3
NC6,289,0
NC7,290,0
NC8,291,0
NC9,292,110
NC10,293,0
NC11,294,28
NC12,295,0
NC13,296,0
ND1,297,7
OH1,298,59
OH2,299,10
OH3,300,0
OH4,301,0
OH5,302,0
OH6,303,0
OH7,304,0
OH8,305,0
OH9,306,0
OH10,307,85
OH11,308,25
OH12,309,0
OH13,310,64
OH14,311,0
OH15,312,30
OH16,313,0
OK1,314,0
OK2,315,0
OK3,316,0
OK4,317,0
OK5,318,0
OR1,319,30
OR2,320,0
OR3,321,0
OR4,322,0
OR5,323,0
PA1,324,27
PA2,325,0
PA3,326,0
PA4,327,0
PA5,328,0
PA6,329,0
PA7,330,9
PA8,331,0
PA9,332,1
PA10,333,20
PA11,334,22
PA12,335,0
PA13,336,0
PA14,337,0
PA15,338,0
PA16,339,23
PA17,340,10
PA18,341,0
RI1,342,40
RI2,343,0
SC1,344,58
SC2,345,0
SC3,346,0
SC4,347,0
SC5,348,0
SC6,349,0
SC7,350,0
SD1,351,0
TN1,352,54
TN2,353,0
TN3,354,0
TN4,355,1
TN5,356,0
TN6,357,25
TN7,358,0
TN8,359,0
TN9,360,0
TX1,361,0
TX2,362,0
TX3,363,0
TX4,364,0
TX5,365,0
TX6,366,0
TX7,367,0
TX8,368,2
TX9,369,0
TX10,370,0
TX11,371,0
TX12,372,0
TX13,373,0
TX14,374,0
TX15,375,0
TX16,376,0
TX17,377,75
TX18,378,0
TX19,379,44
TX20,380,0
TX21,381,10
TX22,382,50
TX23,383,0
TX24,384,0
TX25,385,60
TX26,386,0
TX27,387,45
TX28,388,16
TX29,389,0
TX30,390,0
TX31,391,0
TX32,392,0
TX33,393,0
TX34,394,0
TX35,395,0
TX36,396,0
UT1,397,0
UT2,398,20
UT3,399,0
UT4,400,0
VT1,401,174
VA1,402,15
VA2,403,23
VA3,404,0
VA4,405,0
VA5,406,0
VA6,407,104
VA7,408,10
VA8,409,55
VA9,410,37
VA10,411,0
VA11,412,170
WA1,413,32
WA2,414,0
WA3,415,0
WA4,416,0
WA5,417,0
WA6,418,10
WA7,419,0
WA8,420,0
WA9,421,0
WA10,422,0
WV1,423,0
WV2,424,30
WV3,425,11
WI1,426,1
WI2,427,30
WI3,428,3
WI4,429,102
WI5,430,26
WI6,431,0
WI7,432,0
WI8,433,27
WY1,434,0
