statecd,districtID,ClintonDelegates,SandersDelegates,DifferenceDelegates,ClintonVotes,SandersVotes,ClintonPreportion,SandersPreportion,DifferenceVotes,DifferencePreportionVotes
MO5,228,4,3,1,"51,696","45,974",52.9%,47.1%,5722,0.05858503123
MO6,229,2,3,-1,"28,786","32,129",47.3%,52.7%,-3343,-0.05487975047
MO7,230,2,2,0,"21,574","31,389",40.7%,59.3%,-9815,-0.1853180522
MO8,231,2,3,-1,"20,944","21,259",49.6%,50.4%,-315,-0.007463924366
MT0,232,NA,NA,NA,NA,NA,NA,NA,NA,NA
NE1,233,2,4,-2,"5,659","8,458",40.1%,59.9%,-2799,-0.1982715874
NE2,234,3,3,0,"6,054","7,339",45.2%,54.8%,-1285,-0.09594564325
NE3,235,2,3,-1,"2,630","3,326",44.2%,55.8%,-696,-0.116856951
NV1,236,3,2,1,"1,603","1,424",53%,47%,179,0.05913445656
NV2,237,3,3,0,"1,303","1,551",45.7%,54.3%,-248,-0.08689558514
NV3,238,3,3,0,"1,535","1,378",52.7%,47.3%,157,0.05389632681
NV4,239,4,2,2,"1,872","1,319",58.7%,41.3%,553,0.173299906
NH1,240,3,5,-2,"45,916","68,200",40.2%,59.8%,-22284,-0.1952749834
NH2,241,3,5,-2,"44,406","73,561",37.6%,62.4%,-29155,-0.2471453881
NJ1,242,NA,NA,NA,NA,NA,NA,NA,NA,NA
NJ2,243,NA,NA,NA,NA,NA,NA,NA,NA,NA
NJ3,244,NA,NA,NA,NA,NA,NA,NA,NA,NA
NJ4,245,NA,NA,NA,NA,NA,NA,NA,NA,NA
NJ5,246,NA,NA,NA,NA,NA,NA,NA,NA,NA
NJ6,247,NA,NA,NA,NA,NA,NA,NA,NA,NA
NJ7,248,NA,NA,NA,NA,NA,NA,NA,NA,NA
NJ8,249,NA,NA,NA,NA,NA,NA,NA,NA,NA
NJ9,250,NA,NA,NA,NA,NA,NA,NA,NA,NA
NJ10,251,NA,NA,NA,NA,NA,NA,NA,NA,NA
NJ11,252,NA,NA,NA,NA,NA,NA,NA,NA,NA
NJ12,253,NA,NA,NA,NA,NA,NA,NA,NA,NA
NM1,254,NA,NA,NA,NA,NA,NA,NA,NA,NA
NM2,255,NA,NA,NA,NA,NA,NA,NA,NA,NA
NM3,256,NA,NA,NA,NA,NA,NA,NA,NA,NA
NY1,257,3,3,0,"23,862","21,765",52.3%,47.7%,2097,0.04595962917
NY2,258,3,3,0,"23,390","19,076",55.1%,44.9%,4314,0.1015871521
NY3,259,4,3,1,"40,214","24,648",62%,38%,15566,0.2399864327
NY4,260,4,2,2,"41,210","24,965",62.3%,37.7%,16245,0.2454854552
NY5,261,4,2,2,"61,821","24,568",71.6%,28.4%,37253,0.4312238827
NY6,262,3,3,0,"32,957","24,139",57.7%,42.3%,8818,0.1544416421
NY7,263,4,3,1,"47,996","36,828",56.6%,43.4%,11168,0.1316608507
NY8,264,4,2,2,"61,848","35,925",63.3%,36.7%,25923,0.2651345463
NY9,265,4,2,2,"67,038","38,504",63.5%,36.5%,28534,0.2703568248
NY10,266,4,2,2,"71,998","36,877",66.1%,33.9%,35121,0.3225809414
NY11,267,3,2,1,"25,172","23,634",51.6%,48.4%,1538,0.03151251895
NY12,268,4,2,2,"74,188","43,610",63%,37%,30578,0.2595799589
NY13,269,4,2,2,"70,844","41,710",62.9%,37.1%,29134,0.2588446435
NY14,270,4,3,1,"36,907","26,641",58.1%,41.9%,10266,0.1615471769
NY15,271,4,2,2,"52,389","20,797",71.6%,28.4%,31592,0.4316672588
NY16,272,4,2,2,"65,694","28,161",70%,30%,37533,0.3999041074
NY17,273,4,2,2,"49,006","28,162",63.5%,36.5%,20844,0.2701119635
NY18,274,3,3,0,"29,353","25,773",53.2%,46.8%,3580,0.06494213257
NY19,275,2,3,-1,"24,621","35,022",41.3%,58.7%,-10401,-0.1743876063
NY20,276,3,4,-1,"36,181","40,891",46.9%,53.1%,-4710,-0.06111168777
NY21,277,2,4,-2,"16,690","27,843",37.5%,62.5%,-11153,-0.2504434913
NY22,278,2,3,-1,"21,234","27,069",44%,56%,-5835,-0.1207999503
NY23,279,2,3,-1,"22,479","29,980",42.9%,57.1%,-7501,-0.1429878572
NY24,280,3,3,0,"28,222","26,673",51.4%,48.6%,1549,0.02821750615
NY25,281,3,3,0,"38,362","35,240",52.1%,47.9%,3122,0.04241732562
NY26,282,4,3,1,"46,434","42,234",52.4%,47.6%,4200,0.04736770876
NY27,283,3,3,0,"23,870","29,521",44.7%,55.3%,-5651,-0.1058418085
NC1,284,5,3,2,"59,234","27,666",68.2%,31.8%,31568,0.3632681243
NC2,285,2,2,0,"31,668","24,473",56.4%,43.6%,7195,0.1281594557
NC3,286,2,2,0,"28,271","22,920",55.2%,44.8%,5351,0.1045300932
NC4,287,5,3,2,"47,995","36,966",56.5%,43.5%,11029,0.1298125022
NC5,288,3,2,1,"35,542","32,081",52.6%,47.4%,3461,0.05118081126
NC6,289,3,2,1,"41,143","35,268",53.8%,46.2%,5875,0.07688683567
NC7,290,2,2,0,"42,410","28,851",59.5%,40.5%,13559,0.190272379
NC8,291,2,2,0,"28,325","20,612",57.9%,42.1%,7713,0.1576108057
NC9,292,3,2,1,"42,174","30,951",57.7%,42.3%,11223,0.1534769231
NC10,293,2,3,-1,"29,018","29,093",49.9%,50.1%,-75,-0.001290633443
NC11,294,2,2,0,"29,462","34,785",45.9%,54.1%,-5323,-0.08285211761
NC12,295,5,3,2,"57,817","31,610",64.7%,35.3%,26207,0.2930546703
NC13,296,3,3,0,"40,021","32,349",55.3%,44.7%,7672,0.1060107779
ND0,297,NA,NA,NA,NA,NA,NA,NA,NA,NA
OH1,298,2,2,0,"41,182","28,183",59.4%,40.6%,12999,0.1873999856
OH2,299,2,2,0,"38,123","29,380",56.5%,43.5%,8743,0.1295201695
OH3,300,7,5,2,"53,527","37,461",58.8%,41.2%,16066,0.1765727349
OH4,301,2,2,0,"25,453","22,462",53.1%,46.9%,2991,0.0624230408
OH5,302,2,2,0,"31,659","31,232",50.3%,49.7%,427,0.006789524733
OH6,303,2,2,0,"31,120","25,881",54.6%,45.4%,5239,0.09191066823
OH7,304,2,2,0,"26,663","21,495",55.4%,44.6%,5168,0.1073134266
OH8,305,2,2,0,"25,874","21,008",55.2%,44.8%,4866,0.1037925003
OH9,306,5,3,2,"55,062","41,430",57.1%,42.9%,13632,0.1412759607
OH10,307,2,2,0,"40,678","29,759",57.8%,42.2%,10919,0.1550179593
OH11,308,12,5,7,"87,394","40,461",68.4%,31.6%,46933,0.3670798952
OH12,309,2,2,0,"38,421","33,832",53.2%,46.8%,4589,0.06351293372
OH13,310,4,4,0,"56,236","44,996",55.6%,44.4%,11240,0.1110320847
OH14,311,2,2,0,"42,642","32,734",56.6%,43.4%,9908,0.1314476757
OH15,312,2,2,0,"35,070","32,697",51.8%,48.2%,2373,0.03501704369
OH16,313,2,2,0,"35,275","27,829",55.9%,44.1%,7446,0.1179956897
OK1,314,2,3,-1,"30,179","32,231",48.4%,51.6%,-2052,-0.03287934626
OK2,315,2,3,-1,"26,433","37,672",41.2%,58.8%,-11239,-0.1753217378
OK3,316,2,2,0,"22,078","30,992",41.6%,58.4%,-8914,-0.1679668363
OK4,317,2,3,-1,"26,000","39,244",39.9%,60.1%,-13244,-0.202991846
OK5,318,3,3,0,"34,653","33,920",50.5%,49.5%,733,0.01068933837
OR1,319,4,5,-1,"54,323","62,074",46.7%,53.3%,-7751,-0.06659106334
OR2,320,1,2,-1,"19,000","23,627",44.6%,55.4%,-4627,-0.1085462266
OR3,321,1,2,-1,"18,995","23,622",44.6%,55.4%,-4627,-0.1085716967
OR4,322,5,6,-1,"63,137","86,355",42.2%,57.8%,-23218,-0.1553126589
OR5,323,3,5,-2,"48,974","73,045",40.1%,59.9%,-24071,-0.1972725559
PA1,324,6,4,2,"65,797","43,846",60%,40%,21951,0.2002042994
PA2,325,9,5,4,"127,988","66,450",65.8%,34.2%,61538,0.3164916323
PA3,326,3,3,0,"21,534","19,148",52.9%,47.1%,2386,0.05865001721
PA4,327,3,3,0,"26,782","24,250",52.5%,47.5%,2532,0.04961592726
PA5,328,2,3,-1,"23,681","26,900",46.8%,53.2%,-3219,-0.06364049742
PA6,329,4,3,1,"43,073","38,593",52.7%,47.3%,4480,0.05485759067
PA7,330,5,3,2,"42,390","30,724",58%,42%,11666,0.1595590448
PA8,331,4,3,1,"51,322","40,417",55.9%,44.1%,10905,0.1188698373
PA9,332,3,2,1,"30,120","26,126",53.6%,46.4%,3994,0.07100949401
PA10,333,3,2,1,"28,640","27,242",51.3%,48.7%,1398,0.02501700011
PA11,334,3,3,0,"27,402","25,603",51.7%,48.3%,1799,0.03394019432
PA12,335,3,3,0,"29,234","24,081",54.8%,45.2%,5153,0.09665197412
PA13,336,5,4,1,"69,695","46,882",59.8%,40.2%,22813,0.1956904021
PA14,337,5,4,1,"66,718","55,362",54.7%,45.3%,11356,0.09302096986
PA15,338,3,3,0,"35,114","33,003",51.5%,48.5%,2111,0.03099079525
PA16,339,3,2,1,"29,697","28,607",50.9%,49.1%,1090,0.01869511526
PA17,340,4,3,1,"27,748","24,610",53%,47%,3138,0.05993353451
