statecd,districtID,Clinton2016,Trump2016,Obama2012,Romney2012,Margin2016,Margin2012,MarginChange,HouseDem,HouseRep,HouseMargin,HousePresMargin
CA34,54,83.6,10.7,83,14.1,72.9,68.9,4,100,0,100,-27.1
CA35,55,67.7,26.9,67.4,30.6,40.8,36.8,4,72.39091233,27.60908767,44.78182465,-3.981824654
CA36,56,52.2,43.4,50.7,47.5,8.8,3.2,5.6,62.05393415,37.94606585,24.1078683,-15.3078683
CA37,57,85.7,9.6,84.9,12.7,76.1,72.2,3.9,100,0,100,-23.9
CA38,58,67,27.4,64.9,33,39.6,31.9,7.7,70.47829946,29.52170054,40.95659891,-1.356598913
CA39,59,51.5,42.9,47.1,50.8,8.6,-3.7,12.3,42.76957063,57.23042937,-14.46085874,23.06085874
CA40,60,82.2,12.8,81.5,16.5,69.4,65,4.4,71.3704897,0,71.3704897,-1.970489695
CA41,61,61,33.1,61.5,36.3,27.9,25.2,2.7,64.95137414,35.04862586,29.90274829,-2.002748286
CA42,62,41.4,53.4,41.4,56.5,-12,-15.1,3.1,41.17788197,58.82211803,-17.64423606,5.644236064
CA43,63,78.4,16.7,78,20,61.7,58,3.7,76.08420343,23.91579657,52.16840686,9.531593141
CA44,64,83,12.3,84.7,13.6,70.7,71.1,-0.4,100,0,100,-29.3
CA45,65,49.8,44.4,43,54.8,5.4,-11.8,17.2,41.44024833,58.55975167,-17.11950335,22.51950335
CA46,66,66.3,27.9,61.4,36.2,38.4,25.2,13.2,100,0,100,-61.6
CA47,67,62.6,31,60,37.5,31.6,22.5,9.1,63.72144539,36.27855461,27.44289079,4.157109212
CA48,68,47.9,46.2,43,54.7,1.7,-11.7,13.4,41.68026474,58.31973526,-16.63947052,18.33947052
CA49,69,50.7,43.2,45.7,52.4,7.5,-6.7,14.2,49.73867905,50.26132095,-0.5226419049,8.022641905
CA50,70,39.6,54.6,37.6,60.4,-15,-22.8,7.8,36.54873529,63.45126471,-26.90252942,11.90252942
CA51,71,71.8,22.8,69.4,28.9,49,40.5,8.5,72.75415489,27.24584511,45.50830978,3.491690223
CA52,72,58.1,35.6,52.1,45.7,22.5,6.4,16.1,56.52568485,43.47431515,13.05136969,9.448630308
CA53,73,64.5,29.6,61.4,36.4,34.9,25,9.9,67.0092539,32.9907461,34.01850779,0.8814922076
CO1,74,69,23.2,69,28.8,45.8,40.2,5.6,67.87059804,27.70976899,40.16082905,5.639170949
CO2,75,56.2,34.9,57.9,39.5,21.3,18.4,2.9,56.89223112,37.17396438,19.71826674,1.581733259
CO3,76,40,52,45.8,51.8,-12,-6,-6,40.34734532,54.59887658,-14.25153127,2.251531266
CO4,77,34.3,57.4,39.2,58.5,-23.1,-19.3,-3.8,31.65851148,63.54004235,-31.88153087,8.781530871
CO5,78,33.2,57.2,38.3,59.1,-24,-20.8,-3.2,30.85032031,62.2788286,-31.42850829,7.428508286
CO6,79,50.2,41.3,51.6,46.5,8.9,5.1,3.8,42.60487704,50.90790267,-8.303025634,17.20302563
CO7,80,51.4,39.4,56.1,41.3,12,14.8,-2.8,55.18024364,39.79613823,15.38410541,-3.384105411
CT1,81,59.4,36.3,63.3,35.6,23.1,27.7,-4.6,64.13230007,33.76975314,30.36254694,-7.262546936
CT2,82,48.7,45.8,55.9,42.6,2.9,13.3,-10.4,63.22893989,33.65530481,29.57363508,-26.67363508
CT3,83,55.9,40.4,62.6,36.3,15.5,26.3,-10.8,69.0324812,30.96073101,38.07175018,-22.57175018
CT4,84,59.6,36.6,55.1,44,23,11.1,11.9,59.90017223,40.09823308,19.80193915,3.198060853
CT5,85,49.9,45.8,53.5,45.3,4.1,8.2,-4.1,57.99496574,41.99565164,15.9993141,-11.8993141
DE0,86,53.4,41.9,58.6,40,11.5,18.6,-7.1,55.52652413,40.96386974,14.56265439,-3.062654386
FL1,87,28.2,67.5,30.1,68.5,-39.3,-38.4,-0.9,30.90014248,69.09985752,-38.19971505,-1.100284951
FL2,88,30.6,66.2,34,64.6,-35.6,-30.6,-5,29.93953903,67.32340795,-37.38386892,1.78386892
FL3,89,40.2,56.2,41.9,56.6,-16,-14.7,-1.3,39.7834841,56.56346659,-16.77998249,0.779982492
FL4,90,34.1,62.1,32.8,66.1,-28,-33.3,5.3,27.60519648,70.1820037,-42.57680722,14.57680722
FL5,91,61.3,35.9,63.6,35.4,25.4,28.2,-2.8,64.23430205,35.76569795,28.46860411,-3.068604106
FL6,92,39.9,56.9,46.6,52.2,-17,-5.6,-11.4,41.43264668,58.56735332,-17.13470664,0.1347066407
FL7,93,51.4,44.1,49.4,49.4,7.3,0,7.3,51.47361129,48.51705758,2.956553703,4.343446297
FL8,94,37.7,58.4,42.1,56.6,-20.7,-14.5,-6.2,32.54984497,63.10998794,-30.56014297,9.860142974
FL9,95,54.8,41.9,55.6,43.4,12.9,12.2,0.7,57.48482021,42.51517979,14.96964042,-2.069640424
FL10,96,61.8,34.9,60.7,38.4,26.9,22.3,4.6,64.86867175,35.13132825,29.7373435,-2.837343499
FL11,97,32.5,64.8,39.8,59.2,-32.3,-19.4,-12.9,31.59538811,65.36700792,-33.77161981,1.471619811
FL12,98,38.8,57.4,45.5,53,-18.6,-7.5,-11.1,31.40917956,68.59082044,-37.18164087,18.58164087
FL13,99,49.6,46.4,54.6,43.9,3.2,10.7,-7.5,51.90309182,48.09690818,3.806183643,-0.6061836433
FL14,100,57.2,39,57.6,41.2,18.2,16.4,1.8,61.78706564,38.21293436,23.57413129,-5.374131288
FL15,101,43.1,53.1,46.6,52.2,-10,-5.6,-4.4,42.53879438,57.46120562,-14.92241125,4.922411249
FL16,102,43,53.7,45.1,53.7,-10.7,-8.6,-2.1,40.23207123,59.76792877,-19.53585754,8.835857544
FL17,103,35,62.2,41.3,57.6,-27.2,-16.3,-10.9,34.24344873,61.81383332,-27.57038459,0.370384587
FL18,104,44.1,53.3,47.7,51.4,-9.2,-3.7,-5.5,43.07269138,53.59892317,-10.52623178,1.326231785
FL19,105,37.5,59.6,38.7,60.5,-22.1,-21.8,-0.3,34.09239852,65.87208054,-31.77968202,9.679682019
FL20,106,80.2,18.1,82.5,17.1,62.1,65.4,-3.3,80.31200461,19.68799539,60.62400922,1.475990777
FL21,107,58.6,39.1,60.4,38.9,19.5,21.5,-2,62.70629814,35.14489625,27.56140189,-8.061401889
FL22,108,56.8,41,56.3,43,15.8,13.3,2.5,58.93532633,41.06467367,17.87065266,-2.070652657
FL23,109,61.9,35.8,61.4,38,26.1,23.4,2.7,56.70493934,40.4858876,16.21905175,9.880948255
FL24,110,83,15.3,85.7,13.9,67.7,71.8,-4.1,100,0,100,-32.3
