State-CD,Party,Party,White,Latino,Black,Asian,Native American,Multiracial
CA17, D,0,0.2681,0.1746,0.0236,0.492,0.0019,0.0329
CA18, D,0,0.5793,0.171,0.0188,0.1872,0.002,0.0357
CA19, D,0,0.2697,0.4145,0.0283,0.2549,0.0027,0.0244
CA20, D,0,0.392,0.5065,0.0198,0.05,0.0035,0.0232
CA21, R,1,0.1932,0.7096,0.0444,0.0332,0.0053,0.0112
CA22, R,1,0.4238,0.4475,0.028,0.0717,0.0058,0.0201
CA23, R,1,0.5058,0.3553,0.0588,0.0433,0.009,0.0242
CA24, D,0,0.5712,0.341,0.0177,0.0397,0.0046,0.022
CA25, R,1,0.4583,0.3532,0.0801,0.0752,0.003,0.0263
CA26, D,0,0.4612,0.4323,0.0164,0.0624,0.0029,0.0214
CA27, D,0,0.2922,0.2688,0.0445,0.3689,0.0015,0.0214
CA28, D,0,0.5528,0.257,0.0232,0.1343,0.0015,0.0279
CA29, D,0,0.1842,0.687,0.0364,0.0741,0.0019,0.0127
CA30, D,0,0.5336,0.2701,0.042,0.1184,0.0017,0.0302
CA31, R,1,0.2966,0.4944,0.1095,0.069,0.0031,0.0223
CA32, D,0,0.1811,0.6262,0.0255,0.1499,0.002,0.0126
CA33, D,0,0.6851,0.1121,0.0275,0.1334,0.0016,0.0359
CA34, D,0,0.0924,0.6543,0.044,0.1938,0.0019,0.0106
CA35, D,0,0.1592,0.6944,0.0666,0.0604,0.0024,0.0129
CA36, D,0,0.4436,0.4664,0.036,0.0283,0.0072,0.0158
CA37, D,0,0.2428,0.3858,0.2456,0.0917,0.0017,0.026
CA38, D,0,0.1892,0.6122,0.0361,0.1419,0.0024,0.0139
CA39, R,1,0.3414,0.326,0.0228,0.2832,0.0018,0.0213
CA40, D,0,0.0536,0.8649,0.0507,0.0218,0.0014,0.0048
CA41, D,0,0.2608,0.559,0.095,0.0551,0.0035,0.021
CA42, R,1,0.4663,0.3619,0.0509,0.0848,0.004,0.0274
CA43, D,0,0.1508,0.46,0.2358,0.121,0.0019,0.0216
CA44, D,0,0.0717,0.6841,0.1676,0.053,0.0018,0.0113
CA45, R,1,0.555,0.184,0.0144,0.2068,0.0017,0.034
CA46, D,0,0.1843,0.6656,0.0173,0.1137,0.002,0.0119
CA47, D,0,0.3406,0.3413,0.0726,0.2073,0.0028,0.0266
CA48, R,1,0.5856,0.199,0.0094,0.1719,0.0021,0.0273
CA49, R,1,0.6153,0.2578,0.0231,0.0639,0.0035,0.0293
CA50, R,1,0.5864,0.2994,0.0233,0.0486,0.0097,0.0282
CA51, D,0,0.1439,0.6845,0.0684,0.0771,0.0046,0.0161
CA52, D,0,0.6205,0.1286,0.0291,0.1763,0.0028,0.0369
CA53, D,0,0.4307,0.3176,0.0779,0.1262,0.0034,0.0364
CO1, D,0,0.5673,0.2883,0.0836,0.0318,0.0057,0.0205
CO2, D,0,0.8436,0.0983,0.0073,0.028,0.0037,0.0172
CO3, R,1,0.72,0.2386,0.0068,0.0065,0.0129,0.0133
CO4, R,1,0.7385,0.2113,0.0123,0.0165,0.005,0.0146
CO5, R,1,0.7373,0.1431,0.0529,0.0237,0.0066,0.032
CO6, R,1,0.6323,0.1972,0.0865,0.0505,0.0039,0.0263
CO7, D,0,0.6615,0.269,0.0135,0.0316,0.0057,0.0165
CT1, D,0,0.6518,0.1464,0.1369,0.044,0.0015,0.0165
CT2, D,0,0.8417,0.0676,0.0362,0.0288,0.0041,0.0196
CT3, D,0,0.6879,0.1269,0.1255,0.0382,0.0016,0.017
CT4, D,0,0.6485,0.1737,0.1115,0.0461,0.001,0.0141
CT5, D,0,0.7322,0.1556,0.0587,0.0305,0.0014,0.0161
DE1, D,0,0.6534,0.0815,0.208,0.0315,0.0031,0.0204
FL1, R,1,0.7508,0.0517,0.1364,0.0236,0.0072,0.0273
FL2, R,1,0.6645,0.0516,0.2409,0.0178,0.0046,0.0188
FL3, R,1,0.7389,0.077,0.1327,0.0281,0.0033,0.0177
FL4, R,1,0.722,0.0748,0.1314,0.0434,0.0032,0.022
FL5, D,0,0.3207,0.1184,0.5118,0.0221,0.0031,0.0193
FL6, R,1,0.803,0.0683,0.0925,0.0171,0.0026,0.0144
FL7, R,1,0.6759,0.1864,0.0809,0.0338,0.0023,0.0177
FL8, R,1,0.7737,0.0894,0.0941,0.0189,0.0029,0.0185
FL9, D,0,0.3947,0.4413,0.0986,0.0404,0.002,0.0173
FL10, R,1,0.6645,0.1607,0.1103,0.0383,0.0026,0.0179
FL11, R,1,0.8029,0.0875,0.0797,0.0121,0.0029,0.013
FL12, R,1,0.798,0.1159,0.0405,0.0254,0.0023,0.0158
FL13, R,1,0.8048,0.0861,0.0553,0.0321,0.0023,0.0164
FL14, D,0,0.4224,0.2728,0.2555,0.0256,0.0024,0.0184
FL15, R,1,0.6472,0.1726,0.1247,0.0322,0.0027,0.0179
FL16, R,1,0.7962,0.1101,0.0635,0.0143,0.0018,0.0121
FL17, R,1,0.7084,0.1755,0.0846,0.0133,0.0037,0.0127
FL18, D,0,0.706,0.1412,0.1165,0.0179,0.0019,0.0137
FL19, R,1,0.7227,0.1787,0.0701,0.0131,0.0019,0.0108
FL20, D,0,0.2521,0.1912,0.5125,0.0191,0.0026,0.0175
FL21, D,0,0.6281,0.2003,0.1151,0.0342,0.0011,0.0153
FL22, D,0,0.6566,0.1963,0.1074,0.0206,0.0018,0.0133
FL23, D,0,0.4754,0.3728,0.0993,0.032,0.0022,0.0141
FL24, D,0,0.1147,0.3177,0.5311,0.0163,0.0015,0.0151
FL25, R,1,0.2113,0.702,0.061,0.0168,0.001,0.0063
FL26, D,0,0.1969,0.6881,0.087,0.0164,0.001,0.0084
FL27, R,1,0.1786,0.7372,0.0611,0.0144,0.0006,0.0062
GA1, R,1,0.6068,0.0575,0.2962,0.0155,0.0029,0.0184
GA2, D,0,0.4179,0.0456,0.5092,0.0101,0.0024,0.0128
GA3, R,1,0.6846,0.0504,0.2282,0.0163,0.0024,0.0159
GA4, D,0,0.2738,0.0934,0.5668,0.0432,0.0019,0.0178
GA5, D,0,0.2799,0.0789,0.5849,0.0361,0.0019,0.0161
GA6, R,1,0.627,0.1335,0.1209,0.0943,0.0016,0.0183
GA7, R,1,0.4991,0.1878,0.1745,0.115,0.0018,0.0184
GA8, R,1,0.6187,0.0572,0.2939,0.0131,0.0024,0.013
GA9, R,1,0.7943,0.1148,0.0651,0.0109,0.0024,0.0112
GA10, R,1,0.6687,0.0471,0.2471,0.0199,0.0019,0.0134
GA11, R,1,0.6891,0.1085,0.1517,0.0276,0.0022,0.017
GA12, D,0,0.5706,0.0533,0.3409,0.0153,0.0023,0.0154
GA13, D,0,0.3044,0.103,0.5448,0.0243,0.0022,0.0183
GA14, R,1,0.789,0.1026,0.0821,0.0088,0.0023,0.0136
HI1, D,0,0.1665,0.0692,0.0179,0.5067,0.0015,0.1619
HI2, D,0,0.2884,0.1084,0.0114,0.2478,0.0027,0.2263
ID1, R,1,0.8525,0.1004,0.0043,0.0102,0.0116,0.0187
ID2, R,1,0.8269,0.1241,0.007,0.0134,0.0108,0.0154
IL1, D,0,0.3536,0.0879,0.5264,0.0177,0.0014,0.0119
