State-CD,Party,Party,White,Latino,Black,Asian,Native American,Multiracial
TX8, R,1,0.6837,0.1965,0.0813,0.0201,0.0037,0.013
TX9, D,0,0.1151,0.3732,0.3848,0.1107,0.0015,0.0124
TX10, R,1,0.5746,0.2632,0.0998,0.0428,0.0028,0.0148
TX11, R,1,0.6097,0.3332,0.0347,0.007,0.0043,0.0096
TX12, R,1,0.6644,0.2062,0.0767,0.0303,0.0049,0.0158
TX13, R,1,0.6698,0.2414,0.0518,0.0163,0.0062,0.0132
TX14, R,1,0.5329,0.2211,0.2013,0.0273,0.0034,0.0125
TX15, D,0,0.1632,0.806,0.0147,0.0103,0.0012,0.0036
TX16, D,0,0.1469,0.8013,0.0291,0.0107,0.0024,0.0076
TX17, R,1,0.5766,0.2327,0.1325,0.0396,0.0028,0.0142
TX18, D,0,0.1672,0.3872,0.3984,0.0328,0.0017,0.0098
TX19, R,1,0.574,0.3392,0.0585,0.0123,0.0037,0.0108
TX20, D,0,0.2301,0.6857,0.0438,0.0239,0.002,0.0114
TX21, R,1,0.6484,0.2699,0.032,0.0296,0.003,0.0148
TX22, R,1,0.4498,0.2457,0.1235,0.1586,0.0023,0.0175
TX23, D,0,0.2555,0.693,0.0281,0.0113,0.0035,0.0072
TX24, R,1,0.5343,0.2341,0.0984,0.1061,0.0037,0.0187
TX25, R,1,0.7031,0.1735,0.0704,0.0265,0.004,0.0185
TX26, R,1,0.6838,0.1728,0.0674,0.0497,0.0049,0.0191
TX27, R,1,0.4276,0.495,0.0508,0.0136,0.0026,0.0088
TX28, D,0,0.1776,0.7629,0.0409,0.0093,0.0014,0.0066
TX29, D,0,0.1177,0.7634,0.0962,0.0152,0.0014,0.0048
TX30, D,0,0.1728,0.3468,0.4482,0.0176,0.0027,0.0104
TX31, R,1,0.5951,0.2252,0.1089,0.0391,0.0038,0.0233
TX32, R,1,0.5327,0.2556,0.1199,0.0712,0.0034,0.0154
TX33, D,0,0.1451,0.663,0.1599,0.0197,0.0027,0.008
TX34, D,0,0.1515,0.8269,0.0114,0.0059,0.0011,0.0024
TX35, D,0,0.2516,0.6282,0.0911,0.0134,0.0025,0.011
TX36, R,1,0.6585,0.2118,0.0913,0.0208,0.0045,0.0117
UT1, R,1,0.8288,0.1177,0.0095,0.0139,0.0089,0.0172
UT2, R,1,0.7806,0.1471,0.0111,0.0216,0.0089,0.0169
UT3, R,1,0.841,0.0963,0.0051,0.0172,0.0152,0.0181
UT4, D,0,0.7651,0.1575,0.0119,0.0257,0.0063,0.0187
VT1, D,0,0.9432,0.0147,0.0095,0.0126,0.0032,0.0156
VA1, R,1,0.6845,0.0842,0.1655,0.0326,0.0035,0.0268
VA2, R,1,0.6306,0.0688,0.2134,0.0483,0.0034,0.0312
VA3, D,0,0.3224,0.0509,0.5776,0.0182,0.0041,0.0241
VA4, R,1,0.5953,0.0472,0.3123,0.0199,0.0031,0.0202
VA5, R,1,0.7306,0.0316,0.2039,0.0151,0.0021,0.0151
VA6, R,1,0.816,0.0426,0.1074,0.0141,0.0023,0.016
VA7, R,1,0.7411,0.0506,0.1432,0.0407,0.0026,0.0193
VA8, D,0,0.5359,0.1864,0.1356,0.1092,0.002,0.0269
VA9, R,1,0.9064,0.0191,0.05,0.0112,0.0016,0.0108
VA10, R,1,0.666,0.1174,0.0654,0.1191,0.0017,0.0275
VA11, D,0,0.4999,0.1697,0.121,0.1713,0.0019,0.0321
WA1, D,0,0.7758,0.0837,0.0113,0.0823,0.0109,0.0315
WA2, D,0,0.7487,0.0947,0.0241,0.0757,0.0141,0.0366
WA3, R,1,0.8323,0.0778,0.0138,0.03,0.0097,0.0308
WA4, R,1,0.572,0.361,0.0091,0.0143,0.024,0.0175
WA5, R,1,0.8571,0.0552,0.0145,0.0216,0.0173,0.0299
WA6, D,0,0.786,0.0662,0.0362,0.0378,0.0207,0.045
WA7, D,0,0.7259,0.073,0.0437,0.1024,0.0067,0.0414
WA8, R,1,0.7589,0.0968,0.0234,0.0693,0.0098,0.0349
WA9, D,0,0.4968,0.1178,0.1088,0.2107,0.006,0.0451
WA10, D,0,0.6988,0.0978,0.0566,0.0632,0.0127,0.0551
WV1, R,1,0.9451,0.0106,0.0209,0.0082,0.0017,0.0126
WV2, R,1,0.9137,0.0173,0.0429,0.0073,0.0021,0.0156
WV3, D,0,0.9361,0.0081,0.0367,0.0044,0.0019,0.0122
WI1, R,1,0.8246,0.089,0.0524,0.0154,0.0029,0.0146
WI2, D,0,0.8409,0.0583,0.0442,0.0341,0.0033,0.0178
WI3, D,0,0.9321,0.0211,0.0096,0.0198,0.0061,0.0105
WI4, D,0,0.4431,0.1554,0.3389,0.0337,0.0055,0.0216
WI5, R,1,0.8953,0.0501,0.0163,0.0225,0.0031,0.0117
WI6, R,1,0.911,0.0381,0.0152,0.0206,0.0043,0.0101
WI7, R,1,0.9293,0.0176,0.0058,0.0146,0.0197,0.0124
WI8, R,1,0.8893,0.0432,0.0111,0.0194,0.0233,0.0129
WY1, R,1,0.8585,0.0891,0.0077,0.0076,0.0209,0.0147
